subj_idx,stim,rt,response
0,N1,0.713817567396222,0
0,N1,0.45218746332892,0
0,B0,0.616993828095724,0
0,N3,0.619053907655309,0
0,A2,0.610813589416969,0
0,A3,0.433646747292654,0
0,A0,0.878623932163026,1
0,B0,0.773559874624188,1
0,B1,0.724117965194147,1
0,N1,0.592272873380703,0
0,N1,0.498539253419583,0
0,B1,0.418196150595766,0
0,B0,1.02694966045315,1
0,A1,0.795190709999831,0
0,B0,0.535620685492114,0
0,B0,0.91261524489618,1
0,N1,0.638624663471367,0
0,A1,0.653045220388463,0
0,B0,0.825061863613815,1
0,B0,1.15158447380805,1
0,N4,0.536650725271907,0
0,A0,1.02179946155419,1
0,N4,0.523260208134604,0
0,B0,0.451157423549127,0
0,N2,0.585062594922156,0
0,N3,0.589182754041326,0
0,B0,0.846692698989458,1
0,B0,1.32669123637278,1
0,B1,0.842572539870288,1
0,B0,0.491328974961036,0
0,B0,0.719997806074977,1
0,N1,0.701457090038711,0
0,N1,0.616993828095724,0
0,B0,0.794160670220039,1
0,B1,0.790040511100869,1
0,A0,1.03003977979253,1
0,B4,0.802400988458379,1
0,N6,0.44394714509058,0
0,N2,0.567551918665683,0
0,N3,0.390385076541368,0
0,N1,0.458367702007675,0
0,B0,0.888924329960951,1
0,A0,0.996048467059374,1
0,B0,1.13613387711116,1
0,N4,0.463517900906638,0
0,N3,0.64377486237033,0
0,N1,0.641714782810745,0
0,N1,0.462487861126845,0
0,B2,0.435706826852239,0
0,A1,0.559311600427343,0
0,B1,0.806521147577549,1
0,B3,0.736478442551657,1
0,N2,0.518110009235642,0
0,N3,0.485148736282281,0
0,A1,0.474848338484355,0
0,A0,1.30712048055672,1
0,A2,0.571672077784853,0
0,N2,0.495449134080206,0
0,A0,0.614933748536139,0
0,A5,0.565491839106098,0
0,B0,0.987808148821034,1
0,A1,0.557251520867758,0
0,A2,0.410985872137219,0
0,A0,0.849782818328835,1
0,B1,0.64377486237033,0
0,B0,0.842572539870288,1
0,A0,1.05682081406713,1
0,A0,1.00943898419668,1
0,N4,0.580942435802986,0
0,A0,1.14952439424846,1
0,N1,0.599483151839251,0
0,N3,0.609783549637176,0
0,N1,0.642744822590537,0
0,A0,0.983687989701864,1
0,A1,0.515019889896264,0
0,A4,0.592272873380703,0
0,N5,0.529440446813359,0
0,B0,1.10832280305676,1
0,N1,0.564461799326305,0
0,B0,0.863173335466138,1
0,N1,0.619053907655309,0
0,N1,0.57476219712423,0
0,B0,0.898194687979084,1
0,N1,0.591242833600911,0
0,A1,0.55416140152838,0
0,A2,0.955876915647466,1
0,B0,0.975447671463524,1
0,N4,0.4686680998056,0
0,A2,0.484118696502488,0
0,N3,0.473818298704563,0
0,N1,0.533560605932529,0
0,A0,0.94145635873037,1
0,B1,0.935276120051615,1
0,N2,0.677766175103483,0
0,B0,1.06403109252568,1
0,N4,0.519140049015434,0
0,B3,0.54592108329004,0
0,B2,0.499569293199376,0
0,N1,0.711757487836637,0
0,B0,0.487208815841866,0
0,A0,0.967207353225183,1
0,N1,0.63553454413199,0
0,N4,0.577852316463608,0
0,N1,0.689096612681201,0
0,N1,0.63965470325116,0
0,N5,0.697336930919541,0
0,A0,0.571672077784853,0
0,B0,0.875533812823649,1
0,B0,1.05579077428734,1
0,B0,1.02900974001274,1
0,N2,0.485148736282281,0
0,N2,0.542830963950662,0
0,B0,0.825061863613815,1
0,N1,0.499569293199376,0
0,N2,0.478968497603525,0
0,B0,1.03931013781066,1
0,A1,0.418196150595766,0
0,N1,0.630384345233027,0
0,B0,1.0609409731863,1
0,A3,0.572702117564646,0
0,B0,0.56240171976672,0
0,N2,0.63141438501282,0
0,N1,0.563431759546513,0
0,B0,1.01458918309564,1
0,A0,0.987808148821034,1
0,B1,0.543861003730455,0
0,A0,1.00737890463709,1
0,N3,0.564461799326305,0
0,N2,0.590212793821118,0
0,N4,0.565491839106098,0
0,B1,0.619053907655309,0
0,A1,0.525320287694189,0
0,B0,0.518110009235642,0
0,B0,1.02900974001274,1
0,N1,0.614933748536139,0
0,N4,0.607723470077591,0
0,N1,0.613903708756346,0
0,N1,0.633474464572405,0
0,A1,0.483088656722696,0
0,A4,0.556221481087965,0
0,A0,1.17321530918369,1
0,A1,0.551071282189002,0
0,N1,0.702487129818504,0
0,B0,0.489268895401451,0
0,N1,0.825061863613815,0
0,N1,0.691156692240786,0
0,A0,1.2267773777329,1
0,N1,0.623174066774479,0
0,N5,0.572702117564646,0
0,A0,1.19690622411892,1
0,N3,0.428496548393692,0
0,N5,0.510899730777094,0
0,N1,0.63965470325116,0
0,A2,0.608753509857384,0
0,B0,1.13613387711116,1
0,A1,0.602573271178629,0
0,N2,0.572702117564646,0
0,A1,0.698366970699334,0
0,N1,0.640684743030952,0
0,N1,0.72514800497394,0
0,A1,0.632444424792612,0
0,N3,0.568581958445475,0
0,A1,0.544891043510247,0
0,A0,0.727208084533525,0
0,A0,0.932186000712238,0
0,B1,0.632444424792612,0
0,B0,0.819911664714852,0
